Date,Value,predicted_value,PCT
2017-01-04,1126.76,1012.8778743004553,-0.05349467146342216
2017-01-05,994.67,1126.070351542622,-0.06120633119547181
2017-01-06,999.65,992.8490482157822,-0.18307094656697748
2017-01-07,896.83,997.8935140722367,-0.1757100913082844
2017-01-08,908.14,894.1997592600176,-0.2932819754002953
2017-01-09,910.49,905.5399203243435,-0.28630824274412564
2017-01-10,906.05,907.9377018415114,-0.28032138282557867
2017-01-11,785.22,903.5469650868333,-0.2762579232014381
2017-01-12,780.92,783.508143283261,-0.21800982103601807
2017-01-13,826.29,779.3047752712517,-0.2068361328622928
2017-01-14,817.91,823.844394178635,-0.29597427312021285
2017-01-15,819.55,815.6228396346188,-0.279634723304663
2017-01-16,830.5,817.2591837242265,-0.27952123430826786
2017-01-17,903.84,828.0590939487043,-0.2939080134010422
2017-01-18,906.6,900.4554953324904,-0.37445838505815693
2017-01-19,895.798875,903.2626865931053,-0.3681131046652037
2017-01-20,893.6210875,892.5809669790689,-0.3592221547421654
2017-01-21,895.64,890.4706049466055,-0.3525523958043982
2017-01-22,918.603625,892.5254477790046,-0.3477459940372686
2017-01-23,922.0736125,915.3914499685319,-0.349680204175992
2017-01-24,919.97,918.9041624494764,-0.3437306965037513
2017-01-25,893.045625,916.86241632979,-0.33779184867006895
2017-01-26,915.95625,890.1217245860473,-0.3274077305907693
2017-01-27,915.05,912.9082698487582,-0.33276481832420984
2017-01-28,920.31225,912.0555828590607,-0.3272408219156633
2017-01-29,915.933,917.3399499317553,-0.3229664788493944
2017-01-30,912.19,913.0279313315164,-0.3171704336980583
2017-01-31,964.706075,909.3490116916654,-0.3114469911240705
2017-02-01,979.703875,961.6570269013612,-0.3160598007676978
2017-02-02,983.42,976.7180782437123,-0.3047652288083228
2017-02-03,1013.027,980.4982420434917,-0.29710174254217514
2017-02-04,1030.999413,1010.21302661192,-0.2777787154814292
2017-02-05,1034.07,1028.3090129077475,-0.2609506909828379
2017-02-06,1024.01375,1031.4494915761,-0.25341692766447066
2017-02-07,1050.11,1021.3950994507995,-0.25572415889928607
2017-02-08,1052.84,1047.6300149851247,-0.23616430801298752
2017-02-09,976.103,1050.4205601748083,-0.2298012827392199
2017-02-10,999.1035,973.3486588463958,-0.28217730645271794
2017-02-11,997.59,996.3653105282646,-0.274064646128804
2017-02-12,1000.604625,994.8954982406042,-0.27010111963791217
2017-02-13,999.877375,997.9542722611693,-0.2648751237613705
2017-02-14,1001.2,997.2680789092401,-0.2609616094933567
2017-02-15,1012.325988,998.6312816504987,-0.2565639582002892
2017-02-16,1035.208125,1009.7988073663349,-0.24964099150096353
2017-02-17,1035.2,1032.7389904988827,-0.23851575750696732
2017-02-18,1056.637138,1032.7721730320152,-0.23452733461986633
2017-02-19,1052.779286,1054.2889803375915,-0.22222933284865662
2017-02-20,1050.87,1050.4560379290674,-0.2206776008824845
2017-02-21,1123.788429,1048.5785515139203,-0.21805251706487166
2017-02-22,1123.223188,1121.647182624437,-0.1905382116692905
2017-02-23,1130.01,1121.1135942386968,-0.1878160799955931
2017-02-24,1174.86625,1127.9610766564463,-0.18131904527868997
2017-02-25,1150.605714,1172.9958548292504,-0.15920068950398303
2017-02-26,1150.37,1148.6439545491558,-0.17049797571614383
2017-02-27,1190.75195,1148.4340993353685,-0.16828504434498381
2017-02-28,1187.565286,1188.9711529629753,-0.14955230911230002
2017-03-01,1190.89,1185.7926566775473,-0.14926584191622774
2017-03-02,1259.410817,1189.1559468359903,-0.14560985179233724
2017-03-03,1285.14,1257.853947157914,-0.12361890346427892
2017-03-04,1287.0,1285.1399992273232,-6.012394857173512e-08
2017-03-05,1270.9333,1285.562469150856,-0.111696258674745
2017-03-06,1275.197375,1269.4574935030084,-0.11611990157087562
2017-03-07,1279.5,1273.749931577934,-0.11350740288859551
2017-03-08,1157.3933,1278.082691863773,-0.11077046785673256
2017-03-09,1192.469143,1155.3519573672559,-0.17637415325836864
2017-03-10,1192.09,1190.5179985148352,-0.16362222004807314
2017-03-11,1179.159875,1190.16246916809,-0.16169339830968824
2017-03-12,1227.494625,1177.2201815372307,-0.16449791956916404
2017-03-13,1227.68,1225.6653209583192,-0.14902745840380938
2017-03-14,1245.370786,1225.8730657785322,-0.14718283440862662
2017-03-15,1257.399625,1243.6299389021765,-0.139785445217876
2017-03-16,1257.0,1255.7107771880094,-0.13431273386856837
2017-03-17,1091.171888,1255.3267299643865,-0.13311615239566754
2017-03-18,952.2323625,1088.8566722628207,-0.2121769963688264
2017-03-19,967.69,950.4520647994863,-0.1869604280030712
2017-03-20,1049.084488,965.7862475379748,-0.19673164567426502
2017-03-21,1118.630043,1046.5672470541722,-0.23994644612720456
2017-03-22,1113.0,1115.814403299483,-0.2517042804398237
2017-03-23,1038.789,1110.2283570538416,-0.24902452346436735
2017-03-24,941.9197143,1036.275431358074,-0.24197104916647996
2017-03-25,927.93,940.1460225459007,-0.1883060442595656
2017-03-26,956.7863125,926.3100686544501,-0.17457473576130142
2017-03-27,1037.22925,954.8690146046061,-0.20038935239198022
2017-03-28,1041.04,1034.5629425068105,-0.2570605768386888
2017-03-29,1040.5755,1038.3676245993436,-0.25670247066936835
2017-03-30,1037.90455,1037.9263199894037,-0.25458796700443004
2017-03-31,1034.74,1035.2941761634152,-0.25150422903385605
2017-04-01,1086.929571,1032.1701589987954,-0.24835620554000257
2017-04-02,1099.169125,1084.0280031832444,-0.2669508581026047
2017-04-03,1079.99,1096.2385822240135,-0.266614364371488
2017-04-04,1141.600363,1077.1694684831596,-0.26116274380692844
2017-04-05,1133.079314,1138.5178239120264,-0.2700191054488654
2017-04-06,1133.53,1130.0516939722984,-0.26720283304913345
2017-04-07,1190.45425,1130.5341213205206,-0.26429637323047
2017-04-08,1181.149838,1187.3513493179082,-0.2606484610468471
2017-04-09,1184.03,1178.0860189901011,-0.259392916235485
2017-04-10,1207.744875,1181.000972153948,-0.255823572549009
2017-04-11,1226.617038,1204.738379277745,-0.2489346702675983
2017-04-12,1219.09,1223.6577122412546,-0.24125914340556676
2017-04-13,1180.023713,1216.1512849612016,-0.24105808749135535
2017-04-14,1185.260057,1177.1085387494768,-0.24704370076699048
2017-04-15,1170.36,1182.3670181361401,-0.24408473455035437
2017-04-16,1186.927413,1167.5129855945263,-0.2432597154271849
2017-04-17,1205.634875,1184.0813013269199,-0.23978818265612267
2017-04-18,1176.97,1202.8026381966947,-0.23491662874344524
2017-04-19,1217.930088,1174.1792281536466,-0.23711495164306962
2017-04-20,1241.686325,1215.1143675356925,-0.23118900600701475
2017-04-21,1236.63,1238.90310523923,-0.22414837827661127
2017-04-22,1261.311225,1233.8744683193456,-0.2228258800655398
2017-04-23,1257.988113,1258.6015060140544,-0.21483349487716868
2017-04-24,1240.84,1255.302718721809,-0.21346738100625415
2017-04-25,1279.414688,1238.1686987377595,-0.2152816851681423
2017-04-26,1309.109875,1276.7900348139378,-0.20514483776680173
2017-04-27,1288.02,1306.5565366724045,-0.19504385203691257
2017-04-28,1331.294429,1285.4472915574179,-0.1997413427262075
2017-04-29,1334.979038,1328.8116973858757,-0.18649004758392965
2017-04-30,1333.0,1332.5342506590098,-0.1831330134331413
2017-05-01,1417.172813,1330.580109434585,-0.18153717670030134
2017-05-02,1452.076288,1414.9232736261945,-0.15873430206746558
2017-05-03,1447.55,1449.9596661919281,-0.14576519330035648
2017-05-04,1508.292125,1445.4413296636235,-0.14567167533946757
2017-05-05,1533.335071,1506.3522694430887,-0.12861272194941664
2017-05-06,1518.75,1531.4845034826026,-0.12068904914504458
2017-05-07,1535.868429,1516.871047045842,-0.12371706694044227
2017-05-08,1640.619225,1534.055711152197,-0.11802559474337723
2017-05-09,1651.1,1639.004989306827,-0.09839185525654111
2017-05-10,1762.88625,1649.5224309947562,-0.09554654504534742
2017-05-11,1820.990563,1761.4646225670137,-0.08064203989260622
2017-05-12,1829.0,1820.990562502226,-2.733533955231229e-08
2017-05-13,1771.920013,1827.695088983323,-0.07134559959961163
2017-05-14,1776.3165,1770.510736796289,-0.07953384991261385
2017-05-15,1780.0,1774.924374525758,-0.07837147683095852
2017-05-16,1739.031975,1778.6235998795494,-0.0773258494635183
2017-05-17,1807.485063,1737.58030561428,-0.08347571560437533
2017-05-18,1783.98,1806.1346207652741,-0.07471388076007357
2017-05-19,1961.520488,1782.5953652560534,-0.0776149252764416
2017-05-20,2052.909788,1961.5204873325663,-3.40263382653368e-08
2017-05-21,2008.84,2051.724474473664,-0.05773821788295276
2017-05-22,2090.662313,2008.839999732515,-1.3315390618558375e-08
2017-05-23,2287.710288,2089.5015544313924,-0.055521093071305316
2017-05-24,2256.32,2286.6168377479526,-0.04779671000227891
