Date,USD (PM),predicted_value,PCT
2020-04-02,1616.8,1575.9040414688313,-0.04097291752044762
2020-04-03,1613.1,1616.121136940474,-0.04198806652189916
2020-04-04,1613.1,1612.4227124457047,-0.04198670598816952
2020-04-05,1613.1,1612.426606986551,-0.041745273910418344
2020-04-06,1648.3,1612.4296147791954,-0.0415588135146314
2020-04-07,1649.25,1647.6352269014178,-0.0403308316800428
2020-04-08,1647.8,1648.5899727761007,-0.040019840770004894
2020-04-09,1680.65,1647.141937035993,-0.0399358516814576
2020-04-10,1680.65,1680.0199525784867,-0.037488318300263695
2020-04-11,1680.65,1680.0241459096958,-0.03723881178736211
2020-04-12,1680.65,1680.0275598475478,-0.03703567979367074
2020-04-13,1680.65,1680.0312994036603,-0.03681317325676075
2020-04-14,1741.9,1680.0346798931773,-0.036612031465371404
2020-04-15,1718.65,1741.3391767384812,-0.03219606530333903
2020-04-16,1729.5,1718.0463900859313,-0.03512116568636917
2020-04-17,1692.55,1728.9162576795673,-0.03375208559888684
2020-04-18,1692.55,1691.8947065636619,-0.038716341398367556
2020-04-19,1692.55,1691.8987233395192,-0.038479020441392536
2020-04-20,1686.2,1691.9020147682222,-0.0382845547710696
2020-04-21,1682.05,1685.5463912878445,-0.03876222940075755
2020-04-22,1710.55,1681.3945067222796,-0.038969904445190384
2020-04-23,1736.25,1709.9268967713563,-0.0364270689920602
2020-04-24,1715.9,1735.6631017455777,-0.03380263524390465
2020-04-25,1715.9,1715.2797536250478,-0.0361470001137788
2020-04-26,1715.9,1715.282630776414,-0.035979324178922904
2020-04-27,1714.95,1715.2855209761053,-0.03581088780784273
2020-04-28,1691.55,1714.3380327105933,-0.035684264229669714
2020-04-29,1703.35,1690.9049546126896,-0.03813339170053188
2020-04-30,1702.75,1702.7205667909416,-0.036952664400054826
2020-05-01,1686.25,1702.123990687306,-0.03676460506204055
2020-05-02,1686.25,1685.6054333578568,-0.03822485646512782
2020-05-03,1686.25,1685.608836779755,-0.03802302269800219
2020-05-04,1709.1,1685.611905268217,-0.03784105155125189
2020-05-05,1699.55,1708.48255083238,-0.036127152748227274
2020-05-06,1691.5,1698.9247233755677,-0.036790716626884615
2020-05-07,1704.05,1690.8692254724638,-0.037290838163537225
2020-05-08,1704.05,1703.4340204633734,-0.03614797315962458
2020-05-09,1704.05,1703.4364455692587,-0.036005658915011896
2020-05-10,1704.05,1703.4403400265624,-0.035777117657204975
2020-05-11,1702.75,1703.4426903810834,-0.0356391901010292
2020-05-12,1702.4,1702.146614583166,-0.035435936974543766
2020-05-13,1708.4,1701.7970942664372,-0.03541504543955125
2020-05-14,1731.6,1707.8055501748497,-0.03479570505445899
2020-05-15,1735.35,1731.0300448539256,-0.03291494260073545
2020-05-16,1735.35,1734.787483982548,-0.03241513339970604
2020-05-17,1735.35,1734.790202888606,-0.032258455723277214
2020-05-18,1734.7,1734.7932965854952,-0.0320801806266564
2020-05-19,1737.95,1734.1441291284254,-0.03204420773474364
2020-05-20,1748.3,1737.4004685048765,-0.03161952272065215
2020-05-21,1724.9,1747.765193400545,-0.030590093202247672
2020-05-22,1733.55,1724.3348351432885,-0.032765079524122546
2020-05-23,1733.55,1732.9949172105214,-0.0320200045847277
2020-05-24,1733.55,1732.9981382172589,-0.03183420049846101
2020-05-25,1733.55,1733.0012806592495,-0.03165292842724436
2020-05-26,1720.25,1733.003910453204,-0.031501228507737504
2020-05-27,1694.6,1719.6915958765153,-0.03246063790057877
2020-05-28,1717.35,1694.016563627644,-0.03442914979085866
2020-05-29,1728.7,1716.7822196771756,-0.03306142154041513
2020-05-30,1728.7,1728.1439297768252,-0.03216695917017738
2020-05-31,1728.7,1728.1455179169534,-0.032075090128226444
2020-06-01,1730.6,1728.1490025897542,-0.031873512480235275
2020-06-02,1742.15,1730.0517350880593,-0.03168062590665537
2020-06-03,1705.35,1741.615907803099,-0.03065707297885693
2020-06-04,1700.05,1704.7747575542512,-0.03373163548530798
2020-06-05,1683.45,1699.4734902711464,-0.0339113395990459
2020-06-06,1683.45,1682.8673135522224,-0.034612637605965876
2020-06-07,1683.45,1682.869024975479,-0.03451097594350691
2020-06-08,1690.35,1682.8707575553906,-0.03440805753716848
2020-06-09,1713.5,1689.7755260960132,-0.03398550028022007
2020-06-10,1722.05,1712.9349604302217,-0.03297575545831714
2020-06-11,1738.25,1721.4945400081597,-0.032255741229365004
2020-06-12,1733.5,1737.7059153266096,-0.03130071470677081
2020-06-13,1733.5,1732.9547750703898,-0.03145226014480447
2020-06-14,1733.5,1732.9558748623454,-0.03138881670923831
2020-06-15,1710.45,1732.9583921623564,-0.031243601825416568
2020-06-16,1719.85,1709.89238170575,-0.03260067784793507
2020-06-17,1724.35,1719.297933006545,-0.032099717618100446
2020-06-18,1719.5,1723.8030331939856,-0.031720173167531236
2020-06-19,1734.75,1718.951874314889,-0.03187703897127173
2020-06-20,1734.75,1734.2132035053617,-0.030943737981745965
2020-06-21,1734.75,1734.2149972035868,-0.03084033989988238
2020-06-22,1761.85,1734.2172870212491,-0.03070834291689587
2020-06-23,1768.9,1761.3362775398193,-0.02915812697906112
2020-06-24,1766.05,1768.3954237037392,-0.028524862697772248
2020-06-25,1756.55,1765.5449397572975,-0.028598298049459764
2020-06-26,1747.6,1756.0380672450578,-0.02914421763924219
2020-06-27,1747.6,1747.0811152546237,-0.029691276343340952
2020-06-28,1747.6,1747.0830725120923,-0.029579279463701712
2020-06-29,1771.6,1747.0841118385094,-0.029519807821610542
2020-06-30,1768.1,1771.105350785647,-0.02792104393502347
2020-07-01,1771.05,1767.6016744906078,-0.028184237848090543
2020-07-02,1777.45,1770.5570065552577,-0.027836223976866636
2020-07-03,1772.9,1776.9636220314417,-0.027363805933127358
2020-07-04,1772.9,1772.411472217848,-0.02755529258006683
2020-07-05,1772.9,1772.413017198027,-0.027468148342997312
2020-07-06,1787.9,1772.4155531166207,-0.027325110461921445
2020-07-07,1789.55,1787.429318019095,-0.02632596794591732
2020-07-08,1811.1,1789.0820415814262,-0.026149502309169566
2020-07-09,1812.1,1810.6513743012636,-0.024770896070694628
2020-07-10,1803.1,1811.6545068268929,-0.024584359202418447
2020-07-11,1803.1,1802.6477303728368,-0.025082892083805937
2020-07-12,1803.1,1802.6486208076346,-0.025033508533373976
2020-07-13,1807.5,1802.6490381236467,-0.02501036417021664
2020-07-14,1801.9,1807.055874604794,-0.024571252846799528
2020-07-15,1804.6,1801.451911006776,-0.02486758384061373
2020-07-16,1807.7,1804.1559917783927,-0.024604245905308183
2020-07-17,1807.35,1807.260207949617,-0.024328818409191138
2020-07-18,1807.35,1806.912190632023,-0.024223828698193332
2020-07-19,1807.35,1806.9133059930618,-0.0241621161887885
2020-07-20,1815.65,1806.914439627901,-0.02409939259683858
2020-07-21,1842.55,1815.22335906303,-0.023497972459999922
2020-07-22,1852.4,1842.1435160588353,-0.022060944949371886
2020-07-23,1878.3,1852.0025778314975,-0.021454446582948827
2020-07-24,1902.1,1877.9229476685216,-0.020074127214947196
2020-07-25,1902.1,1901.740720562831,-0.01888856722406181
2020-07-26,1902.1,1901.741082710007,-0.01886952788985121
2020-07-27,1936.65,1901.7440848265699,-0.018711696200517772
2020-07-28,1940.9,1936.3172996846745,-0.017179165844401934
2020-07-29,1950.9,1940.5698688902112,-0.017009176659740756
2020-07-30,1957.65,1950.5743366550437,-0.0166929799044754
2020-07-31,1964.9,1957.332032586038,-0.016242301430907012
2020-08-01,1964.9,1964.5879651906298,-0.0158804422296447
2020-08-02,1964.9,1964.5899221945485,-0.01578084408629222
2020-08-03,1958.55,1964.8999996576013,-1.7425763887144736e-08
2020-08-04,1977.9,1958.2364927427375,-0.016007110222484605
2020-08-05,2048.15,1977.5973209737638,-0.01530305001447592
2020-08-06,2067.15,2047.8690347244628,-0.01371800285805509
2020-08-07,2031.15,2067.149999242313,-3.665371662052592e-08
2020-08-08,2031.15,2030.8563189437327,-0.014458856129156386
2020-08-09,2031.15,2030.8562990927687,-0.01445983345549903
2020-08-10,2044.5,2030.8551085874283,-0.014518445834715048
2020-08-11,1939.65,2044.2134138384895,-0.014017420470066676
2020-08-12,1931.9,1939.2455321111372,-0.020852622321701455
2020-08-13,1944.25,1931.4884246047975,-0.021304176986520512
2020-08-14,1944.75,1943.8503691392975,-0.020554499714670077
